



time,file,func,line,serious_error,error,warning,msg,format_exception,phase,gnss_time,date,lat,lon,alt,alt_base_press,goal_lat,goal_lon,temp,press,camera_area,camera_order,camera_center_x,camera_center_y,camera_frame_size_x,camera_frame_size_y,motor_l,motor_r,goal_relative_x,goal_relative_y,angle_to_goal,distance_to_goal,accel_all_x,accel_all_y,accel_all_z,accel_line_x,accel_line_y,accel_line_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,grav_x,grav_y,grav_z,euler_x,euler_y,euler_z,nmea
"362.778462062","/home/SC-23/program/FM/FM_2/_FM.py","main","960",,,,"muki_seizyou",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,




time,file,func,line,serious_error,error,warning,msg,format_exception,phase,gnss_time,date,lat,lon,alt,alt_base_press,goal_lat,goal_lon,temp,press,camera_area,camera_order,camera_center_x,camera_center_y,camera_frame_size_x,camera_frame_size_y,motor_l,motor_r,goal_relative_x,goal_relative_y,angle_to_goal,distance_to_goal,accel_all_x,accel_all_y,accel_all_z,accel_line_x,accel_line_y,accel_line_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,grav_x,grav_y,grav_z,euler_x,euler_y,euler_z,nmea
"562.376337742","/home/SC-23/program/FM/FM_2/bme280ver2.py","altitude","153",,,,,,,,,,,"42.82283048508406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"573.105090532","/home/SC-23/program/FM/FM_2/_FM.py","main","703",,,,,,,,,,,,"1008.5665235007389",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"585.406022813","/home/SC-23/program/FM/FM_2/_FM.py","main","754",,,,"セットアップ完了",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"585.406708074","/home/SC-23/program/FM/FM_2/_FM.py","main","755",,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"585.411726867","/home/SC-23/program/FM/FM_2/bme280ver2.py","altitude","153",,,,,,,,,,,"1.3560615736091979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"585.413443454","/home/SC-23/program/FM/FM_2/bno055.py","getVector","326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0","0.0","-0.0",,,,,,,,,,,,,
"585.418531694","/home/SC-23/program/FM/FM_2/bme280ver2.py","altitude","153",,,,,,,,,,,"1.3560615736091979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"585.42010574","/home/SC-23/program/FM/FM_2/bno055.py","getVector","326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0","0.0","-0.0",,,,,,,,,,,,,
